[2026-06-11T08:25:33.338Z] GET http://localhost:8801/index.html → 200 (145ms, 40175B)
[2026-06-11T08:25:33.493Z] GET https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@300;400;600;800&family=JetBrains+Mono:wght@400;700&family=Noto+Sans+KR:wght@300;400;600&display=swap → 200 (215ms, 294875B)
[2026-06-11T08:25:33.493Z] GET https://cdn.jsdelivr.net/gh/orioncactus/pretendard@v1.3.9/dist/web/static/pretendard.min.css → 200 (69ms, 2966B)
[2026-06-11T08:25:33.493Z] GET http://localhost:8801/style.css → 200 (7ms, 144475B)
[2026-06-11T08:25:33.493Z] GET http://localhost:8801/app.js → 200 (19ms, 300348B)
[2026-06-11T08:25:33.493Z] GET https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit → 200 (325ms, 76816B)
[2026-06-11T08:25:34.023Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwg.woff2 → pending (?ms, ?B)
[2026-06-11T08:25:34.023Z] GET https://cdn.jsdelivr.net/gh/orioncactus/pretendard@v1.3.9/packages/pretendard/dist/web/static/woff2/Pretendard-Regular.woff2 → pending (?ms, ?B)
[2026-06-11T08:25:34.023Z] GET https://cdn.jsdelivr.net/gh/orioncactus/pretendard@v1.3.9/packages/pretendard/dist/web/static/woff2/Pretendard-SemiBold.woff2 → pending (?ms, ?B)
[2026-06-11T08:25:34.023Z] GET https://cdn.jsdelivr.net/gh/orioncactus/pretendard@v1.3.9/packages/pretendard/dist/web/static/woff2/Pretendard-Black.woff2 → pending (?ms, ?B)
[2026-06-11T08:25:34.024Z] GET https://cdn.jsdelivr.net/gh/orioncactus/pretendard@v1.3.9/packages/pretendard/dist/web/static/woff2/Pretendard-ExtraBold.woff2 → pending (?ms, ?B)
[2026-06-11T08:25:34.024Z] GET https://cdn.jsdelivr.net/gh/orioncactus/pretendard@v1.3.9/packages/pretendard/dist/web/static/woff2/Pretendard-Bold.woff2 → pending (?ms, ?B)
[2026-06-11T08:25:34.047Z] GET https://www.gstatic.com/_/translate_http/_/ss/k=translate_http.tr.zZZZhVqDDCw.L.W.O/am=BBBAEw/d=0/rs=AN8SPfpg2wPCELPSNQ-JdhuRpXMrWQt6Ow/m=el_main_css → pending (?ms, ?B)
